Ticket_ID,Text,Category,Priority
TKT-1000,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1001,"Hi, The server is down and we cannot access our dashboard! Urgent!",Technical Issue,High
TKT-1002,There is an unauthorized charge of $268 on my account.,Billing,High
TKT-1003,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1004,URGENT: My account has been locked. Please unlock it.,Account,High
TKT-1005,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1006,Can you delete my account permanently?,Account,Low
TKT-1007,"Hello, There is an unauthorized charge of $160 on my account.",Billing,High
TKT-1008,URGENT: I forgot my password and the reset link is not working.,Account,Medium
TKT-1009,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1010,Please help - There is an unauthorized charge of $335 on my account.,Billing,High
TKT-1011,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1012,"Just wondering, Can you send me the receipt for order #6168?",Billing,Medium
TKT-1013,I need to add another user to my enterprise plan.,Account,Low
TKT-1014,I'm getting a 500 internal server error when trying to upload a file.,Technical Issue,Medium
TKT-1015,My account has been locked. Please unlock it.,Account,High
TKT-1016,Please help - The server is down and we cannot access our dashboard! Urgent!,Technical Issue,High
TKT-1017,Your website is loading very slowly today.,Technical Issue,Medium
TKT-1018,Do you offer a discount for non-profits?,General Query,Low
TKT-1019,"Hi, I was overcharged on my last invoice by $338. Please refund.",Billing,High
TKT-1020,"I love your product, just wanted to say thanks!",General Query,Low
TKT-1021,"Hello, There is an unauthorized charge of $330 on my account.",Billing,High
TKT-1022,"Hi, The server is down and we cannot access our dashboard! Urgent!",Technical Issue,High
TKT-1023,Where is your company located?,General Query,Low
TKT-1024,Please help - There is an unauthorized charge of $258 on my account.,Billing,High
TKT-1025,"Hello, I love your product, just wanted to say thanks!",General Query,Low
TKT-1026,What are your business hours?,General Query,Low
TKT-1027,URGENT: API endpoint /v1/users is returning a timeout.,Technical Issue,Medium
TKT-1028,"Hi, There is an unauthorized charge of $293 on my account.",Billing,High
TKT-1029,Please help - I want to cancel my subscription and get a refund.,Billing,High
TKT-1030,Why is my credit card failing to process?,Billing,Medium
TKT-1031,"Hi, I want to cancel my subscription and get a refund.",Billing,Medium
TKT-1032,"Hi, The server is down and we cannot access our dashboard! Urgent!",Technical Issue,High
TKT-1033,Please help - Can you send me the receipt for order #9786?,Billing,Medium
TKT-1034,Can you send me the receipt for order #2235?,Billing,Medium
TKT-1035,I was overcharged on my last invoice by $343. Please refund.,Billing,High
TKT-1036,I need to add another user to my enterprise plan.,Account,Low
TKT-1037,Please help - Do you offer a discount for non-profits?,General Query,Low
TKT-1038,"Hi, Why is my credit card failing to process?",Billing,Medium
TKT-1039,"Just wondering, The application keeps crashing on my Android phone.",Technical Issue,Low
TKT-1040,Why is my credit card failing to process?,Billing,High
TKT-1041,There is an unauthorized charge of $71 on my account.,Billing,High
TKT-1042,URGENT: The application keeps crashing on my Android phone.,Technical Issue,High
TKT-1043,I want to cancel my subscription and get a refund.,Billing,Medium
TKT-1044,"I love your product, just wanted to say thanks!",General Query,Low
